什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
我可以公費接種A型肝炎疫苗或投藥嗎？,目前政府針對以下對象提供公費A型肝炎疫苗接種，1. 2017年(含)以後出生滿12個月以上幼兒 、2. 國內設籍山地鄉之鄉鎮、9個鄰近山地鄉及金馬地區，於2016年(含)以前出生滿12個月以上之學齡前幼兒 、3. 急性病毒性A型肝炎確定病例接觸者(包含病患之家庭成員、同住者、性伴侶，經疫調懷疑有共同感染源者)，於1972年1月1日以前出生未具A肝抗體者或1972年1月1日(含)以後出生滿12個月以上者、4. 人類免疫缺乏病毒(HIV)感染者，於1977年1月1日以前出生未具A肝抗體者或1977年1月1日(含)以後出生滿12個月以上者。
接種A型肝炎疫苗前要經過醫師評估？,A肝疫苗是一種安全有效之疫苗，接種前必須經醫師的詳細評估診察，以確認個案身體健康狀況，以及是否有疫苗使用禁忌症等，再決定是否可以接種
接種A型肝炎疫苗需要額外付費嗎？,除公費接種對象外，若你不具A型肝炎抗體保護或是高風險族群，我建議你可以自費接種A型肝炎疫苗
我現在適合接種A型肝炎疫苗嗎？,若你對疫苗成分無過敏反應，而且還沒有A型肝炎抗體或屬於高風險族群，建議你接種A型肝炎疫苗
我想了解A型肝炎疫苗或預防藥品,簡單來說接種疫苗為預防A型肝炎病毒感染相當有效的方法之一
A型肝炎疫苗有哪些種類,目前國內經衛生福利部食品藥物管理署核准上市之A 型肝炎疫苗均為不活化疫苗，可預防A型肝炎感染
A型肝炎疫苗有哪些廠牌,目前國內上市的A型肝炎疫苗有三種，分別由GSK、MSD及賽諾菲巴斯德藥廠產製，均為不活化疫苗
A型肝炎疫苗該接種幾劑？,完成2劑疫苗接種後，免疫力可維持20年以上，那兩劑之間需要間隔6至12個月
A型肝炎疫苗保護力可以持續多久？,A型肝炎疫苗的安全性及效益很高！一般完成2劑疫苗接種可提供20年以上的長期保護力
接種A型肝炎疫苗後會有什麼副作用？,接種後偶爾有人會發生注射部位疼痛、紅腫、熱感、輕微發燒、倦怠等反應
接種A型肝炎疫苗後有副作用該怎麼辦？,請儘速至你接種疫苗的那間醫療院所就診！
疑似感染A型肝炎了怎麼辦？,若出現突然發燒、全身倦怠不適、食慾不振、嘔吐及腹部不舒服、黃疸等病徵，請立即就醫治療！
罹患A型肝炎要注意什麼？,好問題！A型肝炎病患於罹病期間，需注意排泄物的處理、手部清潔與環境及器具消毒等隔離措施
罹患A型肝炎有需要隔離？,病患生病的期間，最好暫時停止為他人準備食物、照護病人及照顧嬰幼兒，避免傳染
罹患A型肝炎可以上班上課？,在出現黃疸後7天內，或發病後14天內最好在家休息，那過了這幾天之後就可以解除隔離、恢復工作及上學了！
疑似罹患A型肝炎要去哪裡就醫？,請儘速至附近醫療院所就診！
A型肝炎要怎麼治療？,這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法
什麼是B型肝炎？,簡單來說B型肝炎是由B型肝炎病毒感染所造成的肝臟發炎。又可分為急、慢性B型肝炎。主要透過接觸病患的血液或體液而感染
B型肝炎會有什麼症狀？,這問題非常好！一般人多無症狀，少部份的人會有腹部不適、食慾不振、全身無力、疲倦、噁心、嘔吐、黃疸、茶色尿等情形
罹患B型肝炎的嚴重性？,慢性帶原者有高風險進展到肝硬化或肝癌
B型肝炎有什麼併發症,少部分急性感染者會發生猛爆型肝炎，而慢性感染者較可能進展成肝硬化或肝癌
B型肝炎有哪些高風險族群,如果性伴侶或共同生活家人為B型肝炎帶原者，你就算是高風險族群
B型肝炎傳染途徑為何？,好問題！B型肝炎病毒主要是透過體液或血液，由性行為、輸血、注射等途徑而傳染，又可分為垂直傳染及水平傳染
B型肝炎潛伏期和可傳染期,B肝潛伏期通常為45-180天，平均為60-90天，潛伏期長短與感染的病毒量、傳染途徑及宿主本身因素有關
B型肝炎流行地區有哪些,B型肝炎為全球性疾病；盛行率以東亞和非洲地區最高，而且嬰兒及兒童期之感染非常普遍，另外有5~10%的成人為慢性帶原者
如何預防B型肝炎,"1. 不與別人共用刮鬍刀、牙刷、針頭、毛巾、指甲剪，以免刮破皮膚或黏膜而感染
2. 避免不必要的輸血、打針、針灸、刺青、穿耳洞等行為，使用拋棄式或充分消毒後的器具
3. B型肝炎帶原者需特別注意防範傳染他人，尤其是工作上常需接觸傷口之醫療人員及牙醫
4. 避免多重性伴侶及嫖妓，並採取安全性行為
5. 建議曾接受性病診療者，應接受B、C型肝炎衛教及篩檢，如B型肝炎未帶原且無抗體者，應接種Ｂ型肝炎
6. 進行預防接種 "
除了接種或投藥外的B型肝炎預防方法,這個問題非常好！首先就是不要與別人共用刮鬍刀、牙刷、針頭、毛巾、指甲剪，以免刮破皮膚或黏膜而感染
何時需要進行B型肝炎的預防接種或投藥,好問題！孕婦於姙娠第12週或第1次產檢時應接受B型肝炎產前篩檢
我可以公費接種B型肝炎疫苗或投藥嗎？,政府目前有提供的三劑公費B型肝炎疫苗給每個新生兒接種，若想要後續追加則需自費了
接種B型肝炎疫苗前要經過醫師評估？,沒錯！B型肝炎疫苗是一種安全有效之疫苗，但接種前必須先經醫師的詳細評估診察，以確認你的身體健康狀況，以及是否有疫苗使用禁忌症等，再決定是否可以接種
接種B型肝炎疫苗需要額外付費嗎？,自費接種B型肝炎疫苗所需費用，一劑大約是$250~$500元，掛號及診療費約是$250~700元
我現在適合接種B型肝炎疫苗嗎？,曾經對B型肝炎疫苗或所含任何成份過敏、發燒或正患有急性中重度疾病者，皆不宜施打B型肝炎疫苗 
我想了解B型肝炎疫苗或預防藥品,簡單來說就是用來預防B型肝炎的疫苗，一般兒童及成人接種完整3劑疫苗後，所產生的保護力可維持至少20年或更久
B型肝炎疫苗該接種幾劑？,所有嬰幼兒於出生後24小時內、1個月、6個月，應完成三劑B型肝炎疫苗接種；若母親檢驗結果為高傳染性B型肝炎帶原者，其新生兒應於出生後儘速注射一劑B型肝炎免疫球蛋白，最遲不要超過24小時！
B型肝炎疫苗保護力可以持續多久？,一般兒童及成人接種完整3劑疫苗後，超過95%接種者的保護力可維持至少20年或更久，可能終生皆有保護力
這是接種B型肝炎疫苗的副作用嗎？,成人接種B型肝炎疫苗，最常見的不良反應是注射部位疼痛，其次是輕微全身不舒服，像比如說疲倦、頭痛、不適等
接種B型肝炎疫苗後有副作用該怎麼辦？,請儘速至原接種疫苗之醫療院所就診！
疑似感染B型肝炎了怎麼辦？,如經檢查疑似感染B型肝炎或有疑似感染B型肝炎之症狀，應儘速至附近醫療院所，由醫師進行評估及治療
罹患B型肝炎要注意什麼？,這個問題非常好！建議發病日後滿6個月，應至醫療院所進行預後檢查，以瞭解是否康復（產生Ｂ型肝炎病毒表面抗體）或成為慢性帶原者
疑似罹患B型肝炎要去哪裡就醫？,請儘速至附近醫療院所就診！
B型肝炎要怎麼治療？,好問題！目前國內治療之藥物有干擾素、Lamivudine、Adefovir 、Entecavir、Telbivudine及Tenofovir等
什麼是狂犬病？,簡單來說狂犬病是由狂犬病病毒引起的神經性疾病，致死率幾乎達100％
狂犬病會有什麼症狀？,好問題！狂犬病初期呈現的非特異性症狀可包含有發熱、喉嚨痛、發冷、不適、厭食、嘔吐、呼吸困難、咳嗽、虛弱、焦慮、頭痛等；或是抓咬傷部位異樣感之特異性的症狀
罹患狂犬病的嚴重性？,若未採取任何醫療措施，患者在2~6 天內(有時會更久)常因呼吸麻痺而死亡！
狂犬病有哪些高風險族群,主要是經常接觸野生哺乳動物或流浪貓犬之人士，如動物防疫人員、獸醫師、巡山員等
狂犬病傳染途徑為何？,這問題非常好！患有狂犬病之動物，其唾液中含有病毒，而狂犬病病毒隨著動物的唾液，透過動物抓、咬的傷口進入到人體
狂犬病潛伏期和可傳染期,狂犬病潛伏期從1至3個月不等，偶而短於7天，長可1年以上，視傷口嚴重程度、傷口部位神經分佈的多寡或與腦的距離、病毒株別、病毒量、衣服的保護程度及其他因素等而定
狂犬病流行地區有哪些,本病之發生屬全球性，主要發生於亞洲及非洲等地區，其中亞洲國家以印度、中國大陸、印尼及菲律賓病例數最多
如何預防狂犬病,首先就是要避免接觸野生動物或領養來源不明的野生動物
除了接種或投藥外的狂犬病預防方法,好問題！一定要避免接觸野生動物或領養來源不明的野生動物
何時需要進行狂犬病的預防接種或投藥？,這問題非常好！狂犬病疫苗跟一般疫苗不一樣，不見得要事先打，被抓咬傷後立即施打，仍有保護效力
我可以公費接種狂犬病疫苗或投藥嗎？,自2014年1月1日起，人用狂犬病疫苗及免疫球蛋白已經納入全民健保給付範圍了！
接種狂犬病疫苗前要經過醫師評估？,狂犬病疫苗是一種安全有效之疫苗，接種前必須先經醫師的詳細評估診察，以確認個案身體健康狀況，以及是否有疫苗使用禁忌症等，再決定接種與否
接種狂犬病疫苗需要額外付費嗎？,暴露「後」狂犬病疫苗自2014年起納入健保給付，但每家醫院的掛號費不一
我現在適合接種狂犬病疫苗嗎？,如遭哺乳動物抓咬傷，請確實清洗及消毒傷口後立即就醫，請醫師評估是否需要接種疫苗
我想了解狂犬病疫苗或預防藥品,狂犬病疫苗跟一般疫苗不一樣，不見得要事先打，被抓咬傷後立即施打，仍有保護效力
狂犬病疫苗該接種幾劑？,暴露前預防接種需注射3劑疫苗後(分別為第0、7及21或28天各施打一劑狂犬病疫苗)才能產生足夠的保護力。特定高風險族群需經過相關人士評估進行追加
接種狂犬病疫苗後或投藥後要注意什麼,若有副作用或不適症狀，應儘速就醫處理！
這是接種狂犬病疫苗後的副作用嗎？,1%-6%的傷前接種者會在打針的地方產生疼痛、紅斑、腫脹和發癢
接種狂犬病疫苗後有副作用該怎麼辦？,請儘速至原接種疫苗之醫療院所就醫！
疑似感染狂犬病了怎麼辦？,若被野生哺乳類動物或流浪貓犬抓咬傷，請至狂犬病疫苗接種服務醫院就醫，各縣市均有施打點
罹患狂犬病要注意什麼？,這問題非常好！接種暴露後疫苗之後仍需持續留意身體狀況，若有異樣請儘速就醫！
疑似罹患狂犬病要去哪裡就醫？,若被野生哺乳類動物或流浪貓犬抓咬傷，請至狂犬病疫苗接種服務醫院就醫，各縣市均有施打點
狂犬病要怎麼治療？,好問題！如遭哺乳動物抓咬傷，請立即以肥皂及清水沖洗傷口15分鐘，以優碘或70%酒精消毒，並立即就醫！
被動物咬傷時，該怎麼辦？,一旦被動物咬傷時，請遵循「記、沖、送、觀」四字訣： 1. 記：保持冷靜，牢記動物特徵 2. 沖：用大量肥皂、清水沖洗15分鐘，並以優碘消毒傷口 3. 送：儘速送醫評估是否要接種疫苗 4. 觀：儘可能將咬人動物繫留觀察10天。若動物兇性大發，不要冒險捕捉
什麼是瘧疾？,瘧疾是一種由瘧原蟲所引起的傳染病，為全球最普遍的疾病之一，根據WHO公布，約50%全球人口身處瘧疾感染風險區
瘧疾會有什麼症狀？,這問題非常好！感染瘧疾早期的症狀跟流感類似，最主要的症狀為發燒、畏寒及顫抖接著冒冷汗
罹患瘧疾的嚴重性？,重症患者可能有嚴重貧血及器官衰竭等症狀，乃至死亡！
瘧疾有什麼併發症？,重症患者可能併發神經異常、嚴重貧血、肺水腫或急性呼吸窘迫症、循環衰竭和休克、急性腎衰竭、代謝性酸中毒及低血糖等症狀
瘧疾有哪些高風險族群？,主要是前往瘧疾流行地區的民眾或是在瘧蚊孳生較多的場所居住或活動的人
瘧疾傳染途徑為何？,這問題非常好！瘧疾主要藉由瘧蚊叮咬傳播。當被感染且具傳染能力的雌性瘧蚊叮咬時，將瘧原蟲注入人體，導致被叮的人感染瘧疾
瘧疾潛伏期和可傳染期,大多數人感染後，隨瘧原蟲種類不同而有差異，一般潛伏期為7至30天，但亦有長達數月或數年的可能。此外，如果有使用預防藥物，也可能延遲症狀出現的時間
瘧疾流行地區有哪些？,世界衛生組織公布，目前仍有約90個國家為瘧疾感染危險地區，主要為非洲撒哈拉沙漠以南、東地中海、大洋洲、中南美洲及東南亞等地區。
如何預防瘧疾？,前往瘧疾流行國家，應瞭解該地瘧疾感染相關資訊，並採取防蚊措施，及經醫師評估後，服用合適的瘧疾預防藥物。
除了投藥外的瘧疾預防方法？,好問題！前往瘧疾流行國家時，應避免瘧蚊叮咬，像比如說避免在黃昏以後到黎明之間外出、穿著淺色長袖衣褲、塗抹政府機關核可含DEET或Picaridin之防蚊藥劑、使用蚊帳及蚊香等。
何時需要進行瘧疾的預防投藥？,這問題非常好！請至少於出國前4-6週，先至旅遊醫學門診向醫師諮詢。
我現在適合接種瘧疾疫苗嗎？,"不同成份的瘧疾預防用藥收費也不一樣，一般來說費用大約是：
1. Atovaquone/proguanil成分瘧疾預防用藥(Malarone®)232元/錠
2. Mefloquine成分瘧疾預防用藥(Apo-Mefloquine)160~200元/錠
3. Doxycycline成分瘧疾預防用藥約1.5~4元/錠
4. Hydroxychloroquine成分瘧疾預防用藥約2~4元/錠"
我想了解瘧疾的預防藥品,瘧疾疫苗目前正在研發中，尚未核准上市
瘧疾預防投藥後要注意什麼,服用預防用藥後應注意有沒有發生副作用，若感到不適可向醫師反映。
疑似感染瘧疾了怎麼辦？,若曾至瘧疾流行地區旅遊、旅遊期間或旅遊後，出現間歇性發熱、發冷或其他類似流感症狀，請儘速就醫，並主動告知旅遊史及藥物史。感染後如延誤治療，可能會致命！
罹患瘧疾要注意什麼？,好問題！罹病期間應做好自我隔離，減少周遭瘧蚊再次叮咬的機會，以防疾病傳染給身邊的人
疑似罹患瘧疾要去哪裡就醫？,如果出現間歇性發熱、發冷或其他類似流感症狀，應該要迅速至附近醫療院所就醫
瘧疾要怎麼治療？,這問題非常好！治療瘧疾時應先判斷是否為瘧疾重症，重症必須當作內科急症來治療，如不積極治療，可能有生命危險！
了解瘧疾用藥,WHO目前正推動一種稱之為ACT的治療方式，是以一種青蒿素（Arteminisin或其衍生物）為主混合其他藥物（如Mefloquine， Amodiaquine或Sulfadoxine-Pyrimethamine等）進行投藥。
瘧疾用藥有哪些種類？,國內現有瘧疾治療藥物包含羥氯奎寧(Hydroxychloroquine) 錠劑、普來馬奎寧(Primaquine)錠劑、青蒿素(Artesunate) 針劑以及ACT (Falcitrim®) 錠劑。
什麼是黃熱病？,黃熱病是一種經由蚊子傳遞黃熱病毒所引起的急性傳染病，盛行於非洲及中南美洲。
黃熱病會有什麼症狀？,好問題！通常病人會有發燒及肝功能異常等症狀，或是有猝發性冷顫、頭痛、背痛、全身肌肉痛、食慾不振、噁心、嘔吐
罹患黃熱病的嚴重性？,進入中毒期的病人7至10天內死亡率約20~50%
黃熱病有哪些高風險族群？,前往黃熱病流行地區的民眾要特別注意
黃熱病傳染途徑為何？,這問題非常好！黃熱病是經由受黃熱病毒感染的病媒蚊叮咬傳染，不會直接經由人或其他哺乳類動物傳染給人
黃熱病潛伏期和可傳染期,黃熱病的潛伏期約3至6天。
黃熱病流行地區有哪些？,"黃熱病流行國家集中在非洲及拉丁美洲： 
1.西非鄉村地區在7-10 月份罹病風險增加，但有時在乾季或是城市裡也有例外的小規模疫情
2.南美洲的流行季節在1-5 月間，高峰期為2、3 月。"
如何預防黃熱病？,欲前往黃熱病高風險地區，建議於出國10天前先行接種黃熱病疫苗。
除了接種疫苗外的黃熱病預防方法？,好問題！前往黃熱病高風險地區時，應穿著淺色的長袖衣褲，並在裸露部位要塗抹政府機關核可含DEET或Picaridin之防蚊藥劑，以避免被病媒蚊叮咬。
何時需要進行黃熱病的預防接種？,這問題非常好！前往黃熱病高風險地區，應於出國前10天接種黃熱病疫苗。
我可以公費接種黃熱病疫苗嗎？,目前接種黃熱病疫苗須自費。
接種黃熱病疫苗前要經過醫師評估？,沒錯！黃熱病疫苗雖然是一種安全有效之疫苗，但接種前必須先經醫師的詳細評估診察，以確認個案身體健康狀況，以及是否有疫苗使用禁忌、注意事項等，再決定可不可以接種
接種黃熱病疫苗需要額外付費嗎？,自費接種黃熱病疫苗所需費用，施打一劑是$2，152元，掛號及診療費約是$250~700元。
我現在適合接種黃熱病疫苗嗎？,未滿6個月的嬰兒、對「蛋」之蛋白質嚴重過敏者、先天或後天免疫不全者，皆不適合接種黃熱病疫苗。另外，正處於高燒或急性感染症者，宜待病情穩定後再接種
我想了解黃熱病疫苗,黃熱病疫苗是一種活性減毒疫苗，現在使用的疫苗是以雞胚蛋培養的病毒製成。
黃熱病疫苗有哪些種類？,黃熱病疫苗目前國內只有供應一種，屬於活性減毒疫苗。
黃熱病疫苗有哪些廠牌？,目前所使用的黃熱病疫苗廠牌為Sanofi Pasteur。
黃熱病疫苗該接種幾劑？,基本上接種一劑。另可依醫師評估進行追加
黃熱病疫苗保護力可以持續多久？,基本上，接種一劑黃熱病疫苗可以產生終身保護力；但如因旅行季節、地點、活動或停留時間而有較高感染風險者，建議10年追加接種一劑。
接種黃熱病疫苗後要注意什麼？,接種後若有任何不適情形或副作用，請儘速就醫，並通知接種疫苗之醫療院所。
這是接種黃熱病疫苗的副作用嗎？,約10~30%接種者在接種後數天內可能出現頭痛、肌肉痛、輕微發燒等類似感冒症狀，症狀可能持續5~10天。
接種黃熱病疫苗後有副作用該怎麼辦？,請儘速就醫及告知疫苗接種史，並通知接種疫苗之醫療院所。
疑似感染黃熱病了怎麼辦？,若曾經前往黃熱病疫區，且出現疑似症狀，請儘速至附近醫療院所就醫
罹患黃熱病要注意什麼？,這問題非常好！請依照醫護人員指示進行治療或隔離。並避免自己再受到病媒蚊叮咬，以防病毒傳播
罹患黃熱病有需要隔離？,若是黃熱病的疑似病例，需於發病5天內在指定隔離治療機構施行隔離治療，並做好防蚊措施
疑似罹患黃熱病要去哪裡就醫？,如果被病媒蚊叮咬後出現發燒及肝功能異常等症狀，或是有猝發性冷顫、頭痛、背痛、全身肌肉痛、食慾不振、噁心及嘔吐的症狀，請儘速至附近醫療院所就醫，並告知醫師旅遊史
黃熱病要怎麼治療？,好問題！目前針對黃熱病，並沒有已證實療效的特效藥物，良好的支持性療法可幫助絕大部分的病人渡過難關
什麼是日本腦炎？,日本腦炎是由日本腦炎病毒所引起的急性傳染病，受損部位包括腦、脊髓及腦膜
日本腦炎會有什麼症狀？,好問題！感染日本腦炎病毒大部分無明顯症狀，約有小於1%的患者會出現臨床症狀，最常見的臨床表現是急性腦炎
罹患日本腦炎的嚴重性？,日本腦炎的致死率約20%至30％，存活病例中，約30%至50％有神經性或精神性後遺症
日本腦炎有什麼併發症,嚴重患者可能導致神經、精神性後遺症
日本腦炎有哪些高風險族群？,居住地或工作場所接近豬舍、其他動物畜舍或病媒蚊孳生地點等高風險地區的民眾需要注意
日本腦炎傳染途徑為何？,這問題非常好！日本腦炎是由病媒蚊傳播的疾病，人不會直接傳染給人
日本腦炎潛伏期和可傳染期,日本腦炎的潛伏期通常為5至15天
日本腦炎的國內流行期？,臺灣流行季節主要在每年5至10月，病例高峰通常出現在6至7月
日本腦炎流行地區有哪些？,北起西伯利亞、日本延伸至臺灣、菲律賓、馬來西亞，印尼、澳大利亞之間的西太平洋諸島嶼，及由韓國至中國、尼泊爾、中南半島、印度、斯里蘭卡之間的東亞地區
如何預防日本腦炎？,除了依規定時程接種日本腦炎疫苗，也要做好防蚊措施，像是使用蚊帳、政府機關核可含DEET或Picaridin之防蚊液、穿淺色長袖衣褲等。
除了接種或投藥外的日本腦炎預防方法？,好問題！首先就是要做好防蚊措施，像是使用蚊帳、政府機關核可含DEET或Picaridin之防蚊液、穿淺色長袖衣褲等。
何時需要接種日本腦炎疫苗?,這問題非常好！幼兒常規接種日本腦炎疫苗是於出生滿15個月及27個月各接種一劑
我可以公費接種日本腦炎疫苗嗎？,目前政府只針對幼兒提供常規的日本腦炎公費疫苗接種
接種日本腦炎疫苗前要經過醫師評估？,沒錯！日本腦炎疫苗雖然是一種安全有效之疫苗，但接種前必須先經醫師的詳細評估診察，以確認你的身體健康狀況，以及是否有疫苗使用禁忌症等，再決定可不可以接種
接種日本腦炎疫苗需要額外付費嗎？,自費接種日本腦炎疫苗所需費用，一劑大約是$3，000~$4，000元，掛號及診療費約是$250~700元
什麼狀況不適合接種日本腦炎疫苗?,對日本腦炎疫苗之任何成分曾有嚴重過敏反應者、先天或後天免疫不全者、孕婦或授乳母親、發燒或正患有急性中重度疾病者皆不宜接種
我想了解日本腦炎疫苗,臺灣自1960年代推動日本腦炎預防接種，使用的是以鼠腦製程之不活化日本腦炎疫苗
日本腦炎疫苗有哪些種類？,有不活化日本腦炎疫苗以及活性減毒嵌合型日本腦炎疫苗兩種
日本腦炎疫苗該接種幾劑？,接受日本腦炎疫苗常規接種的幼兒須於出生滿15個月，及間隔12個月後各接種一劑日本腦炎疫苗
活性減毒日本腦炎疫苗保護力可以持續多久？,根據現有證據，健康成人接種單一劑量活性減毒嵌合型疫苗，追蹤五年後仍有約84%具血清保護力
接種日本腦炎疫苗後要注意什麼？,若有不良反應症狀出現，應儘速就近或至原疫苗接種之醫療院所就診，並請醫師通報衛生單位
日本腦炎疫苗接種後可能出現哪些不良反應?,一般為注射部位疼痛、紅、腫；少數於接種後 3-7 天可能出現輕微或中度全身無力、肌痛、易怒、食慾不振、發燒、頭痛等症狀，會在數天內恢復
接種日本腦炎疫苗後有副作用該怎麼辦？,請儘速至附近醫療院所就醫
疑似感染日本腦炎了怎麼辦？,若出現疑似症狀時，請儘速至附近醫療院所就醫
罹患日本腦炎要注意什麼？,好問題！請配合醫護人員指示進行治療
罹患日本腦炎有需要隔離？,日本腦炎患者不需要特別隔離喔！
疑似罹患日本腦炎要去哪裡就醫？,若出現疑似症狀時，請儘速至附近醫療院所就醫
日本腦炎要怎麼治療？,這問題非常好！目前沒有特效藥物可治療日本腦炎，是採取支持性療法
什麼是麻疹？,麻疹是一種急性、高傳染性的病毒性疾病
麻疹會有什麼症狀？,好問題！麻疹的前驅症狀包含發高燒、鼻炎、結膜炎、咳嗽，在發燒3-4天後口腔下臼齒對面內頰側黏膜上會出現柯氏斑點（Koplik spots）
罹患麻疹的嚴重性？,約5-10％的患者因細菌或病毒重覆感染而產生併發症，併發症包括中耳炎、肺炎與腦炎
麻疹有什麼併發症？,約5-10％的患者因細菌或病毒重覆感染而產生併發症，併發症包括中耳炎、肺炎與腦炎
麻疹有哪些高風險族群？,未感染過、未接種疫苗或未具抗體的民眾、1歲以下的幼兒、免疫低下患者及懷孕婦女感染後容易有嚴重併發症
麻疹傳染途徑為何？,這問題非常好！麻疹病毒可經由空氣、飛沫傳播或是直接與病人的鼻腔或咽喉分泌物接觸而感染
麻疹潛伏期和可傳染期,潛伏期大概是從感染到出疹約7～18天，通常為14天
麻疹的國內流行期,麻疹流行常常發生於冬末及春季
麻疹流行地區有哪些？,麻疹的流行遍及全世界，在冬、春之際很容易大流行，人類為唯一的宿主與傳染族群
如何預防麻疹？,"你可以參考以下的預防方法：
1. 出生滿12個月，及滿5歲至入國小前各接種一劑「麻疹、腮腺炎、德國麻疹（MMR）混合疫苗」的常規疫苗接種 
2. 平時以衛教宣導按時接種疫苗之重要性 
3.避免攜1歲以下嬰兒或尚未完成疫苗接種幼童前往流行地區 
4.欲前往麻疹流行地區之民眾，可至旅遊醫學合約醫院『旅遊醫學門診』評估接種需求 
5.1981年（含）以後出生的成人，建議自費接種1劑後再行前往 
6.進出公共場所或人多擁擠的地方，應注意呼吸道衛生及咳嗽禮節等個人衛生行為，在前往醫院或診所就醫時應全程配戴口罩"
除了接種疫苗外的麻疹預防方法？,這問題非常好！在進出公共場所或人多擁擠的地方，應要注意呼吸道衛生及咳嗽禮節等個人衛生行為
何時需要進行麻疹的預防接種？,好問題！一般是出生滿12個月，及滿5歲至入國小前，要各接種一劑「麻疹、腮腺炎、德國麻疹（MMR）混合疫苗」
我可以公費接種麻疹疫苗嗎？,"目前政府有針對以下對象提供公費MMR疫苗接種： 
1.幼兒常規預防接種、學幼童補接種 
2.經檢驗德國麻疹抗體呈陰性之育齡婦女(15-49歲)"
接種麻疹疫苗前要經過醫師評估？,沒錯！用來預防麻疹、腮腺炎及德國麻疹的MMR疫苗雖然是一種安全有效之疫苗，但接種前仍須先經醫師的詳細評估診察，以確認你的身體健康狀況，以及是否有疫苗使用禁忌症等，再決定可不可以接種
接種麻疹疫苗需要額外付費嗎？,自費接種MMR疫苗所需費用，一劑大約是$280~$500元，掛號及診療費約是$250~700元
我現在適合接種麻疹疫苗嗎？,"目前以下的情況是不建議接種麻疹疫苗的： 
1.已知對「蛋」之蛋白質或疫苗的成份有嚴重過敏者，不予接種 
2.孕婦不宜接種，女性接種後4週內應避免懷孕 
3.已知患有嚴重免疫缺失者不宜接種 
4.發燒或正患有急性中重度疾病者，宜待病情穩定後再接種"
我想了解麻疹疫苗或預防藥品,簡單來說MMR疫苗是用來預防麻疹、腮腺炎、德國麻疹的活性減毒疫苗，接種完2劑MMR疫苗，其對麻疹的預防效果平可達97％以上，並可獲長期免疫！
麻疹疫苗該接種幾劑？,幼兒常規預防接種為兩劑。育齡婦女之公費施打為1劑。其他自費部分請參考醫師評估後建議你的接種劑數
麻疹疫苗保護力可以持續多久？,曾有研究顯示接受MMR疫苗注射後可維持至少15年的保護力，但由於抗體濃度在個體間的差異極大，因此最好的方法是接受血液抗體濃度檢測後，視情況予以追加施打
接種麻疹疫苗後要注意什麼？,若接種後出現副作用或感到不適請至附近醫療院所就診！
這是接種麻疹疫苗的副作用嗎？,接種MMR疫苗後，局部反應較少
接種麻疹疫苗後有副作用該怎麼辦？,請儘速至附近醫療院所就醫！
疑似感染麻疹了怎麼辦？,若出現發燒、出疹等疑似症狀時，請戴上口罩儘速就醫
罹患麻疹要注意什麼？,這問題非常好！於可傳染期應依醫師指示住院或居家隔離休息和治療，經醫師評估有臨床需要或有較高風險出現併發症者，就需要住院隔離治療。
罹患麻疹有需要隔離？,在可傳染期，也就是出疹前後4天應接受居家或住院隔離並採取適當防治措施，防止將病毒傳染給自己的家人或同事
罹患麻疹可以上班上課？,你應該至少等到過了可傳染期，也就是出疹第4天後才能上班或上學
疑似罹患麻疹要去哪裡就醫？,若出現發燒、出疹等疑似症狀時，請戴上口罩，儘速至附近醫療院所就醫
麻疹要怎麼治療？,好問題！麻疹的治療為支持療法以及避免併發症的發生
