Answer,Question,RelativeQuestion,intent,entities
目前政府針對以下對象提供公費A型肝炎疫苗接種 <br />1. 2017年(含)以後出生滿12個月以上幼兒 <br />2. 國內設籍山地鄉之鄉鎮、9個鄰近山地鄉及金馬地區，於2016年(含)以前出生滿12個月以上之學齡前幼兒 <br />3. 急性病毒性A型肝炎確定病例接觸者(包含病患之家庭成員、同住者、性伴侶，經疫調懷疑有共同感染源者)，於1972年1月1日以前出生未具A肝抗體者或1972年1月1日(含)以後出生滿12個月以上者 <br />4. 人類免疫缺乏病毒(HIV)感染者，於1977年1月1日以前出生未具A肝抗體者或1977年1月1日(含)以後出生滿12個月以上者。,我可以公費接種a型肝炎疫苗或投藥嗎?,有a型肝炎疫苗的擴大施打對象嗎?-我想了解a型肝炎疫苗?-接種a型肝炎疫苗前要經過醫師評估?,公費疫苗,a型肝炎
,接種a型肝炎疫苗該帶什麼證件?,有a型肝炎疫苗的擴大施打對象嗎?-我可以公費接種a型肝炎疫苗或投藥嗎?-接種a型肝炎疫苗前要經過醫師評估?,接種證件,a型肝炎
目前政府針對以下對象提供公費A型肝炎疫苗接種 <br />1. 2017年(含)以後出生滿12個月以上幼兒 <br />2. 國內設籍山地鄉之鄉鎮、9個鄰近山地鄉及金馬地區，於2016年(含)以前出生滿12個月以上之學齡前幼兒 <br />3. 急性病毒性A型肝炎確定病例接觸者(包含病患之家庭成員、同住者、性伴侶，經疫調懷疑有共同感染源者)，於1972年1月1日以前出生未具A肝抗體者或1972年1月1日(含)以後出生滿12個月以上者 <br />4. 人類免疫缺乏病毒(HIV)感染者，於1977年1月1日以前出生未具A肝抗體者或1977年1月1日(含)以後出生滿12個月以上者。,有a型肝炎疫苗的擴大施打對象嗎?,我想了解a型肝炎疫苗?-我可以公費接種a型肝炎疫苗或投藥嗎?-接種a型肝炎疫苗前要經過醫師評估?,疫苗擴大施打對象,a型肝炎
A肝疫苗是一種安全有效之疫苗，接種前必須經醫師的詳細評估診察，以確認個案身體健康狀況，以及是否有疫苗使用禁忌症等，再決定是否可以接種。,接種a型肝炎疫苗前要經過醫師評估?,有a型肝炎疫苗的擴大施打對象嗎?-我可以公費接種a型肝炎疫苗或投藥嗎?-我想了解a型肝炎疫苗?,疫苗醫師評估,a型肝炎
除公費接種對象外，若你不具A型肝炎抗體保護或是高風險族群，我建議你可以自費接種A型肝炎疫苗。<br />那成人用的自費A型肝炎疫苗所需費用，一劑大約是$1130~$2200元，掛號及診療費約是$250~700元。<br />不過價格僅供參考，實際供應價格請以醫院公告為準。,接種a型肝炎疫苗需要額外付費嗎?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-疑似感染a型肝炎了怎麼辦?,疫苗費用,a型肝炎
若你對疫苗成分無過敏反應，而且還沒有A型肝炎抗體或屬於高風險族群，建議你接種A型肝炎疫苗。但如果你有以下情形，不建議施打： <br />1. 一歲以下幼兒 <br />2. 之前施打A型肝炎疫苗，或對疫苗任何成分曾發生嚴重過敏者 <br />3. 患有中重度急性病症且尚未康復者 <br />4. 對懷孕的影響目前尚未確定，懷孕婦女應只有在絕對需要時才給予接種。<br />若還有相關疑慮，你可以再洽詢醫師做進一步評估。,我現在適合接種a型肝炎疫苗嗎?,a型肝炎疫苗保護力可以持續多久?-如何預防a型肝炎?-我想了解a型肝炎疫苗?,合適接種,a型肝炎
簡單來說接種疫苗為預防A型肝炎病毒感染相當有效的方法之一。<br />接種1劑後約95%以上可產生保護抗體，一般完成2劑後，可提供20年以上的保護力。,我想了解a型肝炎疫苗?,a型肝炎疫苗保護力可以持續多久?-了解a型肝炎用藥?-接種a型肝炎疫苗後會有什麼副作用?,疫苗接種,a型肝炎
目前國內上市的A型肝炎疫苗有三種，分別由GSK、MSD及賽諾菲巴斯德藥廠產製，均為不活化疫苗，可預防A型肝炎感染。<br />那目前賽諾菲巴斯德藥廠產製的疫苗只有兒童劑型。,a型肝炎疫苗有哪些廠牌?,a型肝炎疫苗保護力可以持續多久?-接種a型肝炎疫苗後會有什麼副作用?-如何預防a型肝炎?,疫苗類別,a型肝炎
完成2劑疫苗接種後，免疫力可維持20年以上，那兩劑之間需要間隔6至12個月。<br />如果是免疫功能不足者，可經醫師評估後，追加接種第3劑，以建立長期的免疫力！。,a型肝炎疫苗該接種幾劑?,a型肝炎疫苗保護力可以持續多久?-接種a型肝炎疫苗後會有什麼副作用?-如何預防a型肝炎?,接種幾劑,a型肝炎
A型肝炎疫苗的安全性及效益很高！一般完成2劑疫苗接種可提供20年以上的長期保護力。,a型肝炎疫苗保護力可以持續多久?,我現在適合接種a型肝炎疫苗嗎?-a型肝炎疫苗有哪些廠牌?-a型肝炎疫苗該接種幾劑?,疫苗保護力,a型肝炎
接種後偶爾有人會發生注射部位疼痛、紅腫、熱感、輕微發燒、倦怠等反應。通常2-3天會恢復，如果你不舒服的症狀一直持續或有其他不良反應，應請醫師診治。,接種a型肝炎疫苗後或投藥後要注意什麼?,a型肝炎疫苗保護力可以持續多久?-a型肝炎疫苗有哪些廠牌?-除了接種或投藥外的a型肝炎預防方法?,接種注意事項,a型肝炎
接種後偶爾有人會發生注射部位疼痛、紅腫、熱感、輕微發燒、倦怠等反應。<br />通常2-3天會恢復，如果你不舒服的症狀一直持續或有其他不良反應，應請醫師診治。,接種a型肝炎疫苗後會有什麼副作用?,a型肝炎疫苗保護力可以持續多久?-疑似罹患a型肝炎要去哪裡就醫?-疑似罹患a型肝炎要去哪裡就醫?,疫苗副作用,a型肝炎
若出現突然發燒、全身倦怠不適、食慾不振、嘔吐及腹部不舒服、黃疸等病徵，請立即就醫治療！。,疑似感染a型肝炎了怎麼辦?,疑似罹患a型肝炎要去哪裡就醫?-接種a型肝炎疫苗後會有什麼副作用?-a型肝炎會有什麼症狀?,疑似感染,a型肝炎
好問題！A型肝炎病患於罹病期間，需注意排泄物的處理、手部清潔與環境及器具消毒等隔離措施。<br />同時應暫時停止為他人準備食物、照護病人及照顧嬰幼兒，降低病毒散播的風險。,罹患a型肝炎要注意什麼?,a型肝炎疫苗保護力可以持續多久?-接種a型肝炎疫苗後會有什麼副作用?-a型肝炎要怎麼治療?,感染注意事項,a型肝炎
myURL-https://www.cdc.gov.tw/Category/MPage/916x_wAtBqs2xxi3vVEJ6w,我需要做a型肝炎篩檢嗎?,a型肝炎要怎麼治療?-a型肝炎傳染途徑為何?-a型肝炎流行地區有哪些?,篩檢,a型肝炎
請儘速至附近醫療院所就診！。,疑似罹患a型肝炎要去哪裡就醫?,我需要做a型肝炎篩檢嗎?-a型肝炎傳染途徑為何?-a型肝炎有哪些高風險族群?,就醫地點,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法。<br />而良好的支持性療法可幫助絕大部分的病人渡過難關。,a型肝炎要怎麼治療?,我能公費使用a型肝炎用藥?-如何預防a型肝炎?-除了接種或投藥外的a型肝炎預防方法?,診斷與治療,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,我能公費使用a型肝炎用藥?,服用a型肝炎用藥有哪些副作用?-a型肝炎用藥有哪些廠牌?-a型肝炎用藥可否自行停藥?,公費藥劑,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,我適合使用a型肝炎用藥?,a型肝炎要怎麼治療?-a型肝炎用藥可否自行停藥?-了解a型肝炎用藥?,合適用藥,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,能自行領用a型肝炎用藥?,服用a型肝炎用藥有哪些副作用?-這是a型肝炎治療後的副作用嗎?-了解a型肝炎用藥?,自行領藥,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,自費a型肝炎用藥藥多少錢?,a型肝炎要怎麼治療?-a型肝炎用藥有哪些廠牌?-a型肝炎用藥後要注意什麼?,自費用藥,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,了解a型肝炎用藥?,a型肝炎用藥後要注意什麼?-a型肝炎用藥可否自行停藥?-服用a型肝炎用藥有哪些副作用?,用藥介紹,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,a型肝炎用藥有哪些廠牌?,我能公費使用a型肝炎用藥?-a型肝炎用藥後要注意什麼?-服用a型肝炎用藥有哪些副作用?,用藥類別,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,a型肝炎用藥後要注意什麼?,這是a型肝炎治療後的副作用嗎?-a型肝炎用藥有哪些廠牌?-服用a型肝炎用藥有哪些副作用?,用藥注意事項,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,這是a型肝炎治療後的副作用嗎?,a型肝炎要怎麼治療?-服用a型肝炎用藥有哪些副作用?-a型肝炎用藥後要注意什麼?,治療副作用,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,服用a型肝炎用藥有哪些副作用?,我能公費使用a型肝炎用藥?-a型肝炎用藥後要注意什麼?-服用a型肝炎用藥有哪些副作用?,用藥副作用,a型肝炎
這問題非常好！目前針對A肝病毒，還沒有已證實療效的特效藥物，而是採取支持性療法<br />而良好的支持性療法可幫助絕大部分的病人渡過難關,a型肝炎用藥可否自行停藥?,a型肝炎要怎麼治療?-這是a型肝炎治療後的副作用嗎?-了解a型肝炎用藥?,自行停藥,a型肝炎
病患生病的期間，最好暫時停止為他人準備食物、照護病人及照顧嬰幼兒，避免傳染<br />如果罹病時是從事餐飲相關行業，應暫時不要上班，於出現黃疸後的7天內、或發病後14天內在家休息，過了隔離期再回復工作<br />符合極可能病例的人，我建議要在家休息7天後，才回到工作崗位(如有本次或前次anti-HAV IgG抗體檢驗陽性證明者，不在此限),罹患a型肝炎有需要隔離?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-疑似感染a型肝炎了怎麼辦?,隔離,a型肝炎
myURL-https://www.cdc.gov.tw/Category/List/IAakU67t_sl1dXlQONvQCg,a型肝炎有什麼最新消息?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-什麼是a型肝炎?,最新消息,a型肝炎
myURL-https://www.cdc.gov.tw/Category/MPage/916x_wAtBqs2xxi3vVEJ6w,a型肝炎有哪些重要指引教材?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-什麼是a型肝炎?,重要指引及教材,a型肝炎
,a型肝炎該如何家裡清潔?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-什麼是a型肝炎?,家裡清潔,a型肝炎
,a型肝炎有哪些重要表單?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-什麼是a型肝炎?,重要表單,a型肝炎
myURL-https://www.cdc.gov.tw/Category/QAPage/XXlsM4mL24lvoSPrZZJDSg,a型肝炎的問與答?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-什麼是a型肝炎?,問與答,a型肝炎
myURL-https://www.cdc.gov.tw/Category/List/1TstpZRCFkTLQfbaPj7nmw,a型肝炎有哪些研究出版?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-什麼是a型肝炎?,研究出版,a型肝炎
myURL-https://www.cdc.gov.tw/Category/List/i_hlMw6lH4xBca6W5eST8g,a型肝炎有哪些宣導素材?,a型肝炎會有什麼症狀?-如何預防a型肝炎?-什麼是a型肝炎?,宣導素材,a型肝炎
簡單來說B型肝炎是由B型肝炎病毒感染所造成的肝臟發炎。又可分為急、慢性B型肝炎。主要透過接觸病患的血液或體液而感染。<br />受到Ｂ型肝炎病毒感染後有可能成為慢性帶原者。根據統計，臺灣成人帶原率約達15％。,什麼是b型肝炎?,b型肝炎會有什麼症狀?-如何預防b型肝炎?-疑似感染b型肝炎了怎麼辦?,認識疾病,b型肝炎
這問題非常好！一般人多無症狀，少部份的人會有腹部不適、食慾不振、全身無力、疲倦、噁心、嘔吐、黃疸、茶色尿等情形。<br />那慢性帶原者常常無任何症狀或只出現容易疲累和倦怠等情形。,b型肝炎會有什麼症狀?,b型肝炎傳染途徑為何?-b型肝炎流行地區有哪些?-如何預防b型肝炎?,臨床症狀,b型肝炎
慢性帶原者有高風險進展到肝硬化或肝癌。,罹患b型肝炎的嚴重性?,b型肝炎傳染途徑為何?-b型肝炎流行地區有哪些?-如何預防b型肝炎?,嚴重性,b型肝炎
這問題非常好！一般人多無症狀，少部份的人會有腹部不適、食慾不振、全身無力、疲倦、噁心、嘔吐、黃疸、茶色尿等情形。那慢性帶原者常常無任何症狀或只出現容易疲累和倦怠等情形。,b型肝炎有什麼危險徵兆?,b型肝炎傳染途徑為何?-b型肝炎流行地區有哪些?-如何預防b型肝炎?,危險徵兆,b型肝炎
少部分急性感染者會發生猛爆型肝炎，而慢性感染者較可能進展成肝硬化或肝癌。,b型肝炎有什麼併發症?,b型肝炎傳染途徑為何?-b型肝炎流行地區有哪些?-如何預防b型肝炎?,併發症,b型肝炎
如果性伴侶或共同生活家人為B型肝炎帶原者，你就算是高風險族群。<br />再來就是有高風險性行為(多重性伴侶、因性傳染病就醫或接受治療者、男性同性性行為)以及共用針頭者。<br />慢性疾病患者如需長期洗腎者、需經常使用血液製劑治療之病患、愛滋病患、其他免疫功能不全患者(包括器官移植使用抗排斥藥物)、其他慢性肝臟疾病(包括C型肝炎)患者也算。<br />最後就是可能接觸血液之醫療公衛工作人員、照護機構住民及工作人員,b型肝炎有哪些高風險族群?,b型肝炎有什麼併發症?-如何預防b型肝炎?-除了接種或投藥外的b型肝炎預防方法?,高風險族群,b型肝炎
好問題！B型肝炎病毒主要是透過體液或血液，由性行為、輸血、注射等途徑而傳染，又可分為垂直傳染及水平傳染。<br />垂直傳染是指帶原的媽媽在生產前後將B型肝炎病毒傳染給新生兒，臺灣的帶原者主要經由此途徑感染。<br />那水平傳染則是含有病毒的血液或體液透過皮膚或粘膜進入體內而感染，因此輸血、共用針頭或注射器、針灸、穿耳洞、紋眉、刺青、共用牙刷或刮鬍刀、性行為都有風險！。,b型肝炎傳染途徑為何?,b型肝炎流行地區有哪些?-b型肝炎會有什麼症狀?-如何預防b型肝炎?,傳染方式,b型肝炎
B肝潛伏期通常為45-180天，平均為60-90天，潛伏期長短與感染的病毒量、傳染途徑及宿主本身因素有關。<br />簡單來說從出現第一個臨床症狀前數週到整個急性期，以及慢性帶原期皆具傳染性。,b型肝炎潛伏期和可傳染期?,b型肝炎有哪些高風險族群?-b型肝炎傳染途徑為何?-b型肝炎流行地區有哪些?,潛伏期,b型肝炎
myURL-https://www.cdc.gov.tw/Category/Page/jlS2jBHpodI34ATlKUy3oQ,b型肝炎的國內流行期?,b型肝炎流行地區有哪些?-b型肝炎傳染途徑為何?-b型肝炎有哪些高風險族群?,流行期,b型肝炎
B型肝炎為全球性疾病；盛行率以東亞和非洲地區最高，而且嬰兒及兒童期之感染非常普遍，另外有5~10%的成人為慢性帶原者。<br />在北美洲及歐洲，感染通常發生在青年時期後。,b型肝炎流行地區有哪些?,b型肝炎有什麼併發症?-如何預防b型肝炎?-除了接種或投藥外的b型肝炎預防方法?,流行地區,b型肝炎
<br />1. 不與別人共用刮鬍刀、牙刷、針頭、毛巾、指甲剪，以免刮破皮膚或黏膜而感染<br />2. 避免不必要的輸血、打針、針灸、刺青、穿耳洞等行為，使用拋棄式或充分消毒後的器具<br />3. B型肝炎帶原者需特別注意防範傳染他人，尤其是工作上常需接觸傷口之醫療人員及牙醫<br />4. 避免多重性伴侶及嫖妓，並採取安全性行為<br />5. 建議曾接受性病診療者，應接受B、C型肝炎衛教及篩檢，如B型肝炎未帶原且無抗體者，應接種Ｂ型肝炎<br />6. 進行預防接種 。,如何預防b型肝炎?,我想了解b型肝炎疫苗?-b型肝炎會有什麼症狀?-疑似感染b型肝炎了怎麼辦?,預防方法,b型肝炎
這個問題非常好！首先就是不要與別人共用刮鬍刀、牙刷、針頭、毛巾、指甲剪，以免刮破皮膚或黏膜而感染。<br />避免不必要的輸血、打針、針灸、刺青、穿耳洞等行為，使用拋棄式或充分消毒後的器具。<br />最後一個就是要避免多重性伴侶及嫖妓，並採取安全性行為。,除了接種或投藥外的b型肝炎預防方法?,b型肝炎有什麼危險徵兆?-b型肝炎的國內流行期?-接種b型肝炎疫苗需要額外付費嗎?,以外預防方法,b型肝炎
好問題！孕婦於姙娠第12週或第1次產檢時應接受B型肝炎產前篩檢。<br />那所有嬰幼兒於出生後24小時內應儘速接種並後續打完共三劑B型肝炎疫苗。<br />若你是B型肝炎感染高危險群若未曾感染且經檢驗為B肝病毒表面抗體陰性，建議接種疫苗來降低感染風險！。,何時需要進行b型肝炎的預防接種或投藥?,接種b型肝炎疫苗該帶什麼證件?-有b型肝炎疫苗的擴大施打對象嗎?-接種b型肝炎疫苗前要經過醫師評估?,何時接種,b型肝炎
政府目前有提供的三劑公費B型肝炎疫苗給每個新生兒接種，若想要後續追加則需自費了。,我可以公費接種b型肝炎疫苗或投藥嗎?,有b型肝炎疫苗的擴大施打對象嗎?-我想了解b型肝炎疫苗?-接種b型肝炎疫苗前要經過醫師評估?,公費疫苗,b型肝炎
,接種b型肝炎疫苗該帶什麼證件?,有b型肝炎疫苗的擴大施打對象嗎?-我可以公費接種b型肝炎疫苗或投藥嗎?-接種b型肝炎疫苗前要經過醫師評估?,接種證件,b型肝炎
,有b型肝炎疫苗的擴大施打對象嗎?,我想了解b型肝炎疫苗?-我可以公費接種b型肝炎疫苗或投藥嗎?-接種b型肝炎疫苗前要經過醫師評估?,疫苗擴大施打對象,b型肝炎
沒錯！B型肝炎疫苗是一種安全有效之疫苗，但接種前必須先經醫師的詳細評估診察，以確認你的身體健康狀況，以及是否有疫苗使用禁忌症等，再決定是否可以接種。,接種b型肝炎疫苗前要經過醫師評估?,有b型肝炎疫苗的擴大施打對象嗎?-我可以公費接種b型肝炎疫苗或投藥嗎?-我想了解b型肝炎疫苗?,疫苗醫師評估,b型肝炎
自費接種B型肝炎疫苗所需費用，一劑大約是$250~$500元，掛號及診療費約是$250~700元。<br />不過價格僅供參考，實際供應價格請以醫院公告為準。,接種b型肝炎疫苗需要額外付費嗎?,b型肝炎會有什麼症狀?-如何預防b型肝炎?-疑似感染b型肝炎了怎麼辦?,疫苗費用,b型肝炎
曾經對B型肝炎疫苗或所含任何成份過敏、發燒或正患有急性中重度疾病者，皆不宜施打B型肝炎疫苗 。<br />母親非Ｂ型肝炎帶原者之低出生體重兒(少於2000公克)，他的第1劑Ｂ肝疫苗，需要於體重超過2000公克或出生滿1個月後接種。<br />若還有相關疑慮可再洽詢醫師做進一步評估。,我現在適合接種b型肝炎疫苗嗎?,b型肝炎疫苗保護力可以持續多久?-如何預防b型肝炎?-我想了解b型肝炎疫苗?,合適接種,b型肝炎
簡單來說就是用來預防B型肝炎的疫苗，一般兒童及成人接種完整3劑疫苗後，所產生的保護力可維持至少20年或更久。<br />臺灣為Ｂ型肝炎高感染地區，年幼時期的感染易演變成慢性帶原者，所以需要按時完成預防接種，能有效預防感染。,我想了解b型肝炎疫苗?,b型肝炎疫苗保護力可以持續多久?-了解b型肝炎用藥?-接種b型肝炎疫苗後會有什麼副作用?,疫苗接種,b型肝炎
,b型肝炎疫苗有哪些廠牌?,b型肝炎疫苗保護力可以持續多久?-接種b型肝炎疫苗後會有什麼副作用?-如何預防b型肝炎?,疫苗類別,b型肝炎
所有嬰幼兒於出生後24小時內、1個月、6個月，應完成三劑B型肝炎疫苗接種；若母親檢驗結果為高傳染性B型肝炎帶原者，其新生兒應於出生後儘速注射一劑B型肝炎免疫球蛋白，最遲不要超過24小時！。<br />B型肝炎感染高危險群，如未曾感染且經檢驗為B肝病毒表面抗體陰性，建議接種3劑疫苗。<br />B型肝炎感染高危險群，但曾於嬰幼兒時期依規定時程完成疫苗接種的人，可追加1劑B型肝炎疫苗，1個月後再抽血檢驗，如表面抗體仍為陰性，可依「0-1-6個月」之時程接續完成。,b型肝炎疫苗該接種幾劑?,b型肝炎疫苗保護力可以持續多久?-接種b型肝炎疫苗後會有什麼副作用?-如何預防b型肝炎?,接種幾劑,b型肝炎
一般兒童及成人接種完整3劑疫苗後，超過95%接種者的保護力可維持至少20年或更久，可能終生皆有保護力。<br />但年齡越高，產生抗體效果就越差。,b型肝炎疫苗保護力可以持續多久?,我現在適合接種b型肝炎疫苗嗎?-b型肝炎疫苗有哪些廠牌?-b型肝炎疫苗該接種幾劑?,疫苗保護力,b型肝炎
成人接種B型肝炎疫苗，最常見的不良反應是注射部位疼痛，其次是輕微全身不舒服，像比如說疲倦、頭痛、不適等<br />那有低於1%的人會出現發燒。而嚴重全身性反應或嚴重過敏性反應則極為罕見<br />,接種b型肝炎疫苗後或投藥後要注意什麼?,b型肝炎疫苗保護力可以持續多久?-b型肝炎疫苗有哪些廠牌?-除了接種或投藥外的b型肝炎預防方法?,接種注意事項,b型肝炎
成人接種B型肝炎疫苗，最常見的不良反應是注射部位疼痛，其次是輕微全身不舒服，像比如說疲倦、頭痛、不適等<br />那有低於1%的人會出現發燒。而嚴重全身性反應或嚴重過敏性反應則極為罕見<br />,接種b型肝炎疫苗後會有什麼副作用?,b型肝炎疫苗保護力可以持續多久?-疑似罹患b型肝炎要去哪裡就醫?-疑似罹患b型肝炎要去哪裡就醫?,疫苗副作用,b型肝炎
如經檢查疑似感染B型肝炎或有疑似感染B型肝炎之症狀，應儘速至附近醫療院所，由醫師進行評估及治療<br />感染B型肝炎者多無症狀，少部份的人會有腹部不適、食慾不振、全身無力、疲倦、噁心、嘔吐、黃疸、茶色尿等情形。慢性帶原者常常無症狀或只出現容易疲累和倦怠等情形<br />,疑似感染b型肝炎了怎麼辦?,疑似罹患b型肝炎要去哪裡就醫?-接種b型肝炎疫苗後會有什麼副作用?-b型肝炎會有什麼症狀?,疑似感染,b型肝炎
